accession,disposition,mhc_class,chain,label_status,evidence,source_version,source_url,audited_on
A0A8B9QYN3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9QYN3?format=txt&versions=16,2026-09-02
A0A8B9QZH6,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9QZH6?format=txt&versions=16,2026-09-02
A0A8B9SA79,include,II,beta,curated,PTHR19944:SF65;cd21002,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9SA79?format=txt&versions=19,2026-09-02
A0A8B9UH94,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9UH94?format=txt&versions=19,2026-09-02
A0A8B9UJ83,include,II,beta,curated,PTHR19944:SF65;cd21002,UniProtKB entry 17; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9UJ83?format=txt&versions=17,2026-09-02
A0A8C3URZ8,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3URZ8?format=txt&versions=18,2026-09-02
A0A8C6ZFM9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6ZFM9?format=txt&versions=21,2026-09-02
A0A8C9NJA7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C9NJA7?format=txt&versions=20,2026-09-02
A0A8C9NM44,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C9NM44?format=txt&versions=20,2026-09-02
A0A8D0EUW5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0EUW5?format=txt&versions=18,2026-09-02
A0A8D0EX96,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0EX96?format=txt&versions=18,2026-09-02
A0A8D0F027,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0F027?format=txt&versions=18,2026-09-02
A0A8D0F0U8,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0F0U8?format=txt&versions=18,2026-09-02
A0A8D0FV91,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0FV91?format=txt&versions=18,2026-09-02
A0A8D0FZU6,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0FZU6?format=txt&versions=18,2026-09-02
A0A8D0KT36,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0KT36?format=txt&versions=18,2026-09-02
A0A8D2MQR2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D2MQR2?format=txt&versions=20,2026-09-02
A0A8V0X5P3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8V0X5P3?format=txt&versions=19,2026-09-02
A0A8V0X946,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8V0X946?format=txt&versions=19,2026-09-02
A0A669QL43,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A669QL43?format=txt&versions=24,2026-09-02
A0A8B9PVX8,include,II,beta,curated,PTHR19944:SF65;cd21002,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9PVX8?format=txt&versions=19,2026-09-02
A0A8B9QXQ1,include,II,beta,curated,PTHR19944:SF65;cd21002,UniSave entry 14; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9QXQ1?format=txt&versions=14,2026-09-02
A0A8B9R4Z3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R4Z3?format=txt&versions=16,2026-09-02
A0A8B9R7Y9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R7Y9?format=txt&versions=16,2026-09-02
A0A8B9SH79,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9SH79?format=txt&versions=16,2026-09-02
A0A8B9SI49,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9SI49?format=txt&versions=16,2026-09-02
A0A8B9UJN1,include,II,beta,curated,PTHR19944:SF65;cd21002,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9UJN1?format=txt&versions=18,2026-09-02
A0A8C3MHZ4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3MHZ4?format=txt&versions=21,2026-09-02
A0A8C3QKD5,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3QKD5?format=txt&versions=20,2026-09-02
A0A8C3U958,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3U958?format=txt&versions=18,2026-09-02
A0A8C3ULS4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3ULS4?format=txt&versions=18,2026-09-02
A0A8C3UQQ4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3UQQ4?format=txt&versions=19,2026-09-02
A0A8C8AAF3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C8AAF3?format=txt&versions=18,2026-09-02
A0A8C8E5B1,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C8E5B1?format=txt&versions=18,2026-09-02
A0A8C9NIQ4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C9NIQ4?format=txt&versions=20,2026-09-02
A0A8C9NL28,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C9NL28?format=txt&versions=20,2026-09-02
A0A8D0F0B7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0F0B7?format=txt&versions=18,2026-09-02
A0A8D0FLB8,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0FLB8?format=txt&versions=18,2026-09-02
A0A8D0FNR6,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0FNR6?format=txt&versions=18,2026-09-02
A0A8D0KT85,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0KT85?format=txt&versions=18,2026-09-02
A0A8D0KTZ7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0KTZ7?format=txt&versions=18,2026-09-02
A0A8V0X9R3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8V0X9R3?format=txt&versions=19,2026-09-02
A0A663MN22,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 25; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A663MN22?format=txt&versions=25,2026-09-02
A0A669QTB2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A669QTB2?format=txt&versions=24,2026-09-02
A0A8B9QP67,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9QP67?format=txt&versions=20,2026-09-02
A0A8B9QQ76,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9QQ76?format=txt&versions=20,2026-09-02
A0A8B9QXD2,include,II,beta,curated,PTHR19944:SF65;cd21002,UniSave entry 14; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9QXD2?format=txt&versions=14,2026-09-02
A0A8B9R2Q2,include,II,beta,curated,PTHR19944:SF65;cd21002,UniSave entry 14; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R2Q2?format=txt&versions=14,2026-09-02
A0A8B9R3R8,include,II,beta,curated,PTHR19944:SF65;cd21002,UniSave entry 14; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R3R8?format=txt&versions=14,2026-09-02
A0A8B9R4I7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R4I7?format=txt&versions=16,2026-09-02
A0A8B9R5J7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R5J7?format=txt&versions=16,2026-09-02
A0A8B9SG53,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9SG53?format=txt&versions=20,2026-09-02
A0A8B9UK93,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9UK93?format=txt&versions=20,2026-09-02
A0A8B9UMP0,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9UMP0?format=txt&versions=19,2026-09-02
A0A8B9ZRA5,include,II,beta,curated,PTHR19944:SF65;cd21002,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9ZRA5?format=txt&versions=18,2026-09-02
A0A8C3K0S3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3K0S3?format=txt&versions=21,2026-09-02
A0A8C3K255,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3K255?format=txt&versions=21,2026-09-02
A0A8C3PNU3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3PNU3?format=txt&versions=21,2026-09-02
A0A8C3PZ44,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF65;cd21002,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3PZ44?format=txt&versions=19,2026-09-02
A0A8D0EWL6,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0EWL6?format=txt&versions=18,2026-09-02
A0A8D0EYI4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0EYI4?format=txt&versions=18,2026-09-02
A0A8D0F3N4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0F3N4?format=txt&versions=19,2026-09-02
A0A8D0F4R4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0F4R4?format=txt&versions=19,2026-09-02
A0A8D0F4T7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0F4T7?format=txt&versions=18,2026-09-02
A0A8D0KT64,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0KT64?format=txt&versions=18,2026-09-02
A0A8D0KT87,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0KT87?format=txt&versions=19,2026-09-02
A0A8D2MP14,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D2MP14?format=txt&versions=20,2026-09-02
A0AAN7N6Q3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 7; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0AAN7N6Q3?format=txt&versions=7,2026-09-02
A0A3M0KCT3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A3M0KCT3?format=txt&versions=21,2026-09-02
A0A674GKA1,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A674GKA1?format=txt&versions=24,2026-09-02
A0A674GNP2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A674GNP2?format=txt&versions=24,2026-09-02
A0A8B9NS37,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9NS37?format=txt&versions=20,2026-09-02
A0A8B9QZM7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9QZM7?format=txt&versions=16,2026-09-02
A0A8B9R3J2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R3J2?format=txt&versions=16,2026-09-02
A0A8B9R3K3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R3K3?format=txt&versions=16,2026-09-02
A0A8B9R668,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R668?format=txt&versions=16,2026-09-02
A0A8B9R787,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R787?format=txt&versions=16,2026-09-02
A0A8B9SI88,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9SI88?format=txt&versions=16,2026-09-02
A0A8B9UJQ8,include,II,beta,curated,PTHR19944:SF65;cd21002,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9UJQ8?format=txt&versions=18,2026-09-02
A0A8C3K670,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3K670?format=txt&versions=21,2026-09-02
A0A8C3URX9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C3URX9?format=txt&versions=18,2026-09-02
A0A8C6ZCG0,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6ZCG0?format=txt&versions=21,2026-09-02
A0A8C6ZIJ2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6ZIJ2?format=txt&versions=21,2026-09-02
A0A8C6ZKD0,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 21; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8C6ZKD0?format=txt&versions=21,2026-09-02
A0A8D0EV14,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0EV14?format=txt&versions=18,2026-09-02
A0A8D0FL05,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0FL05?format=txt&versions=18,2026-09-02
A0A8D0FYL2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0FYL2?format=txt&versions=18,2026-09-02
A0A8D0G1C3,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 18; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D0G1C3?format=txt&versions=18,2026-09-02
A0A8D2MNL4,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8D2MNL4?format=txt&versions=20,2026-09-02
A0A8V0XFM1,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8V0XFM1?format=txt&versions=19,2026-09-02
A0AAN7N8G7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF65;cd21002,UniProtKB entry 6; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0AAN7N8G7?format=txt&versions=6,2026-09-02
A0A094N606,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 38; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A094N606?format=txt&versions=38,2026-09-02
A0A663MPD2,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A663MPD2?format=txt&versions=24,2026-09-02
A0A674H520,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99,UniProtKB entry 24; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A674H520?format=txt&versions=24,2026-09-02
A0A8B9QNG3,include,II,alpha,curated,IPR001003;PF00993;PTHR19944:SF86;cd05767,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9QNG3?format=txt&versions=20,2026-09-02
A0A8B9QNH7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8B9QNH7?format=txt&versions=20,2026-09-02
A0A8B9QZL7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9QZL7?format=txt&versions=16,2026-09-02
A0A8B9R014,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 15; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R014?format=txt&versions=15,2026-09-02
A0A8B9R121,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R121?format=txt&versions=16,2026-09-02
A0A8B9R7Y6,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9R7Y6?format=txt&versions=16,2026-09-02
A0A8B9SI51,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniSave entry 16; release 2026_01/2026_01,https://rest.uniprot.org/unisave/A0A8B9SI51?format=txt&versions=16,2026-09-02
